№,Тема,Подтема,Вопрос,Ответ,Тип ответа,Рейтинг неожиданности факта (1-3),Сложность вопроса,Жанр,Распределение дат,AI
13,Аниме,Fairy Tail,Сколько членов в гильдии Хвост Феи?,более 100,количество,1,3,"приключения, фэнтези",,1
37,Аниме,One Piece,"Сколько серий в аниме ""One Piece"" на данный момент (начало 2024)?",более 1090,количество,1,1,"приключения, фэнтези",,1
94,Бутылки,Переработка,Сколько раз можно переработать стеклянную бутылку?,бесконечно,количество,2,1,,,0
95,Бутылки,Переработка,Сколько процентов пластиковых бутылок перерабатывается в мире? (в %),менее 10,проценты,1,2,,,1
125,Еда,Еда,В каком веке появились первые свидетельства обработки злаков для хлеба? (год до н.э.),30000 до н.э.,дата,3,3,,Древние времена,0
126,Еда,Еда,В каком веке начали культивировать рис? (год до н.э.),7000-5000 до н.э.,дата,2,3,,Древние времена,0
127,Еда,Еда,В каком веке появились первые свидетельства употребления попкорна? (год до н.э.),6500-3600 до н.э.,дата,2,3,,Древние времена,0
128,Еда,Еда,В каком веке начали культивировать картофель? (год до н.э.),8000 до н.э.,дата,2,3,,Древние времена,0
133,Еда,Напитки,"В каком веке, по легенде, был открыт чай? (год до н.э.)",2737 до н.э.,дата,2,2,,Древние времена,0
134,Еда,Напитки,В каком веке появились первые свидетельства виноделия? (год до н.э.),6000 до н.э.,дата,2,2,,Древние времена,0
135,Еда,Напитки,В каком веке появились первые свидетельства пивоварения? (год до н.э.),7000-5000 до н.э.,дата,2,3,,Древние времена,0
136,Еда,Пицца,Сколько видов пиццы существует в мире?,тысячи,количество,1,1,,,1
137,Еда,Сыр,Сколько видов сыра существует в мире?,более 2000,количество,1,1,,,1
143,Еда и напитки,Факты,Сколько лет хранится мед при правильных условиях?,бесконечно,время,3,3,,,1
144,Еда и напитки,Факты,Сколько видов сыра существует в мире?,более 2000,количество,1,1,,,1
147,Животные,Белые медведи,Какова средняя масса взрослого самца белого медведя (в кг)?,400-600,масса,1,1,,,0
150,Животные,Дельфины,Сколько зубов у дельфина-афалины?,80-100,количество,1,2,,,0
153,Животные,Жирафы,Сколько в сумме спит жираф в сутки (короткими периодами)? (в часах),0.5-2,время,3,3,,,0
156,Животные,Змеи,Сколько видов змей существует?,3900,количество,1,2,,,0
161,Животные,Коалы,Сколько часов в сутки спит коала? (в часах),18-22,время,1,2,,,0
162,Животные,Коалы,Сколько граммов листьев эвкалипта съедает коала за день? (в г),500-1000,количество,1,3,,,0
164,Животные,Крокодилы,Какова сила укуса крупного крокодила? (в кг силы),1300-1700,сила,1,3,,,0
165,Животные,Крокодилы,Сколько зубов у крокодила?,60-80,количество,1,2,,,0
166,Животные,Крокодилы,Сколько лет живут крупные виды крокодилов? (в годах),70-100,время,1,1,,,0
182,Животные,Слоны,Сколько весит новорожденный слоненок (в кг)?,100-120,масса,1,1,,,0
183,Животные,Слоны,Сколько килограммов пищи съедает слон за день? (в кг),150-200,количество,1,3,,,0
184,Животные,Слоны,Сколько лет живут слоны в дикой природе? (в годах),60-70,время,1,2,,,0
188,Животные,Тигры,Сколько тигров осталось в дикой природе (оценка 2023)?,4500-5500,количество,1,1,,,0
194,Животные,Факты,Сколько лет может прожить гренландская акула? (в годах),более 400,время,3,1,,,1
195,Животные,Факты,Сколько ног у рекордного вида многоножки (Eumillipes persephone)?,до 1306,количество,3,3,,,1
196,Животные,Факты,Сколько может прожить таракан без головы? (в неделях),1-2,время,3,1,,,0
197,Животные,Черепахи,Сколько лет может прожить гигантская черепаха? (в годах),более 150,время,1,3,,,1
202,Игры,Apex Legends,Сколько видов оружия в Apex Legends (на начало 2024)?,30,количество,1,3,"FPS, Battle Royale",,0
211,Игры,Counter-Strike 1.6,Сколько официальных карт в стандартной поставке Counter-Strike 1.6?,20-25,количество,1,1,FPS,,0
219,Игры,Dark Souls,Сколько видов оружия в игре Dark Souls?,более 100,количество,1,2,RPG,,1
269,Игры,Mass Effect 2,Сколько уникальных локаций (планет/станций) можно посетить (высадиться) в игре Mass Effect 2?,20-30,количество,1,1,RPG,,0
276,Игры,Minecraft,"Сколько видов блоков доступно в игре Minecraft (Java Edition, ванилла)?",более 700,количество,1,2,Sandbox,,1
289,Игры,No Man's Sky,Сколько процедурно-генерируемых планет доступно в игре No Man's Sky?,18 квинтиллионов,количество,3,1,"Survival, Exploration",,1
313,Игры,SimCity,Сколько видов построек доступно в игре SimCity (зависит от версии)?,сотни,количество,1,1,City-building simulation,,1
318,Игры,StarCraft II,Сколько типов юнитов в игре StarCraft II (включая улучшения)?,более 100,количество,1,1,RTS,,1
330,Игры,Team Fortress 2,Сколько официальных карт доступно в игре Team Fortress 2?,более 100,количество,1,2,"FPS, Hero shooter",,1
346,Игры,The Sims 4,"Сколько дополнений, игровых наборов, каталогов и комплектов для The Sims 4 выпущено (на начало 2024)?",более 70,количество,1,3,Life simulation,,1
380,Интернет,Twitch,Сколько подписчиков у shroud (на начало 2024)? (в миллионах),10.6,количество,1,1,,,1
381,Интернет,Twitch,Сколько подписчиков у xQc (на начало 2024)? (в миллионах),11.9,количество,1,1,,,1
382,Интернет,Twitch,"Сколько денег, по слухам, получил Ninja за контракт с Mixer? (в млн долларов)",20-30,деньги,1,3,,,0
383,Интернет,Twitch,Сколько подписчиков у Pokimane (на начало 2024)? (в миллионах),9.3,количество,1,1,,,1
384,Интернет,Twitch,Сколько эмоций (эмотиконов) доступно на Twitch?,миллионы,количество,2,3,,,1
394,Интернет,YouTube,"Какова максимальная длина видео, которое можно загрузить на YouTube (для верифицированных аккаунтов)? (в часах)",12,время,1,2,,,0
395,Интернет,YouTube,"Сколько времени в среднем люди проводят на YouTube в день (глобально, оценка)? (в минутах)",45,время,1,2,,,0
396,Интернет,YouTube,Сколько сотрудников работает в YouTube?,несколько тысяч,количество,2,3,,,1
397,Интернет,YouTube,Какова длина самого длинного видео на YouTube? (в часах),сотни часов (существуют видео > 500 часов),время,2,3,,,1
404,Ипотека,Условия,На сколько лет обычно берут ипотеку? (в годах),15-30,время,1,1,,,0
408,Искусство,Живопись,В каком веке (примерно) была написана Мона Лиза? (год),1503-1519,дата,1,2,,Наша эра,0
451,История,Бытовые предметы,В каком веке появились первые бронзовые швейные иглы? (век до н.э.),1400 до н.э.,дата,2,3,,Древние времена,0
452,История,Бытовые предметы,В каком веке были изобретены ножницы современного типа? (год до н.э.),1500 до н.э.,дата,2,3,,Древние времена,0
453,История,Бытовые предметы,В каком веке появились первые зонтики от солнца? (век до н.э.),400 до н.э.,дата,2,3,,Древние времена,0
504,История,Игры,В каком веке появились первые игральные кости? (год до н.э.),3000 до н.э.,дата,2,3,,Древние времена,0
505,История,Игры,"В каком веке появились первые свидетельства игры, похожей на боулинг? (год до н.э.)",3200 до н.э.,дата,2,3,,Древние времена,0
525,История,История,В каком году родился Юлий Цезарь? (год до н.э.),100 до н.э.,дата,2,3,,Древние времена,0
526,История,История,В каком веке зародилось сельское хозяйство? (год до н.э.),10000 до н.э.,дата,2,3,,Древние времена,0
527,История,История,В каком веке появилась письменность? (год до н.э.),3200 до н.э.,дата,1,2,,Древние времена,0
528,История,История,В каком году родился Александр Македонский? (год до н.э.),356 до н.э.,дата,2,3,,Древние времена,0
537,История,Математика,"В каком веке появились первые развитые математические системы (Египет, Месопотамия)? (год до н.э.)",3000 до н.э.,дата,2,3,,Древние времена,0
570,История,Одежда,В каком веке появились первые пуговицы (изначально как украшения)? (год до н.э.),2000 до н.э.,дата,2,2,,Древние времена,0
577,История,Религия,"В каком году, по наиболее распространенной оценке, родился Иисус Христос? (год до н.э.)",4 до н.э.,дата,1,2,,Древние времена,0
578,История,Религия,"В каком году, по традиционной дате, родился Будда Гаутама? (год до н.э.)",563 до н.э.,дата,2,3,,Древние времена,0
594,История,Сельское хозяйство,В каком веке был изобретен плуг? (год до н.э.),4000 до н.э.,дата,2,2,,Древние времена,0
596,История,Строительство,В каком веке появились первые металлические гвозди? (год до н.э.),3400 до н.э.,дата,2,3,,Древние времена,0
649,История,Технологии,В каком веке было изобретено водяное колесо? (век до н.э.),100 до н.э.,дата,2,3,,Древние времена,0
650,История,Технологии,В каком веке было изобретено колесо? (год до н.э.),3500 до н.э.,дата,2,2,,Древние времена,0
662,История,Транспорт,В каком веке было изобретено колесо? (год до н.э.),3500 до н.э.,дата,2,2,,Древние времена,0
686,История,Философия,В каком году родился Аристотель? (год до н.э.),384 до н.э.,дата,2,3,,Древние времена,0
687,История,Философия,В каком году родился Платон? (год до н.э.),428 до н.э.,дата,2,3,,Древние времена,0
688,История,Философия,В каком году родился Сократ? (год до н.э.),470 до н.э.,дата,1,2,,Древние времена,0
734,Космос,Факты,"Сколько времени нужно, чтобы долететь до Солнца на обычном пассажирском самолете (теоретически)? (в годах)",20,время,2,3,,,0
738,Кошки,Анатомия,Какова нормальная температура тела кошки (°C)?,38-39.2,температура,1,3,,,0
740,Кошки,Питание,Сколько процентов белка рекомендуется в сухом корме для кошки? (в %),30-45,проценты,1,3,,,0
741,Кошки,Питание,Сколько миллилитров воды в день нужно взрослой кошке (включая воду из пищи)? (в мл на кг веса),50,количество,1,2,,,0
754,Литература,Классическая литература,"В каком веке была написана ""Илиада"" Гомера (предположительно)? (век до н.э.)",800 до н.э.,дата,1,2,,Древние времена,0
771,Литература,Факты,"В каком веке была написана ""Божественная комедия"" Данте? (год)",1308-1321,дата,1,2,поэма,Наша эра,0
779,Манга,Fairy Tail,Сколько членов в гильдии Хвост Феи?,более 100,количество,1,3,"приключения, фэнтези",,1
784,Манга,My Hero Academia,"Сколько томов манги ""My Hero Academia"" выпущено на данный момент (начало 2024)?",40,количество,1,1,"супергероика, комедия",,0
786,Манга,One Piece,"Сколько глав в манге ""One Piece"" на данный момент (начало 2024)?",более 1100,количество,1,1,"приключения, фэнтези",,1
884,Музыка,Музыкальные инструменты,Сколько инструментов в большом симфоническом оркестре?,80-100,количество,1,2,классическая музыка,,0
908,Настольные игры,Риичи Маджонг,Сколько очков получает игрок за Рон с 1 хан и 30 фу (не дилер / дилер)?,1000 / 1500,количество,1,2,,,1
911,Наука,Астрономия,Сколько миллионов лет в одном галактическом году (время оборота Солнца вокруг центра Галактики)? (в млн лет),225-250,время,3,2,,,0
918,Наука,Биология,Сколько ног у сороконожки (хилоподы)?,30-382,количество,3,3,,,0
946,Одежда,Одежда,В каком веке появились первые свидетельства использования шарфов? (век до н.э.),100 до н.э.,дата,2,2,,Древние времена,0
947,Одежда,Одежда,В каком веке появились первые изображения головных уборов? (год до н.э.),3000 до н.э.,дата,2,3,,Древние времена,0
948,Пиво,История,Когда появились первые свидетельства пивоварения? (год до н.э.),5000 до н. э.,дата,1,3,,Древние времена,0
951,Пиво,Производство,Какова примерная температура брожения пива (°C)? (лагер / эль),7-13 / 18-24,температура,1,3,,,1
952,Пиво,Сорта,"Сколько сортов пива, по приблизительным оценкам, существует в мире?",тысячи,количество,1,2,,,1
954,Пиво,Стили,Какова примерная горечь пива IPA по шкале IBU?,40-100,горечь,1,2,,,0
955,Пиво,Стили,Сколько основных стилей пива существует (по классификациям типа BJCP)?,более 100,количество,1,3,,,1
964,Природа,Факты,Сколько видов растений существует на Земле (оценка)? (в тыс.),400000,количество,1,1,,,0
971,Развлечения,Парки развлечений,Сколько аттракционов в Walt Disney World (все парки)?,более 150,количество,1,1,,,1
972,Развлечения,Парки развлечений,Сколько аттракционов в Disneyland Park (Калифорния)?,более 50,количество,1,1,,,1
994,Сериалы,Как я встретил вашу маму,Сколько женщин Тед Мосби встречал (упоминалось или показывалось) до встречи с матерью?,более 50,количество,1,3,ситком,,1
998,Сериалы,Офис,"Сколько раз Майкл Скотт говорил ""That's what she said"" за время сериала (по подсчетам фанатов)?",58,количество,2,3,"мокьюментари, комедия",,0